neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
bailen-miraflores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.3015019543862225,-1.1971905421919522,0.6931471805599453,0,2.995732273553991
aluche,2,-1.295454281148449,2.5671581341633845,1.1011467639991472,-0.4462663485364962,1.4914401104131076,-0.3387178841171801,2.4849066497880004,0,3.295836866004329
ciudad universitaria,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,0.23638066505357652,1.5659401123694134,3.1780538303479458,0,3.2188758248682006
universidad,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.0794415416798357,0,4.248495242049359
centro,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.9994665189035936,1.3862943611198906,0,4.382026634673881
sol,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.1328516974532417,0.5773199959276204,2.833213344056216,0,3.6375861597263857
carretera de cadiz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-1.0995799484166866,1.0986122886681098,0,3.4011973816621555
los angeles,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.42381429920330915,0.6931471805599453,0,3.258096538021482
palomeras sureste,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.0,0,3.828641396489095
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.3015019543862225,-1.0995799484166866,3.332204510175204,0,3.871201010907891
goya,2,-1.295454281148449,0.534880343467645,-0.12799851367586254,-0.4462663485364962,1.5512048459064187,-0.3362150483793528,0.0,0,4.330733340286331
ventas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.0,0,3.58351893845611
acacias,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.0,0,4.007333185232471
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.3362150483793528,3.332204510175204,0,3.9512437185814275
carretera de cadiz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,3.4339872044851463,0,3.6888794541139363
canillas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,1.4316753749197966,-0.3362150483793528,0.6931471805599453,0,3.4011973816621555
aluche,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.1746650205515063,4.2626798770413155,0,3.9318256327243257
